name,homepage,count1,count2,count3,count4,booktitle,interv,aggr
Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,2,3,2,3,SIGMOD Conference,-1.1762537,1
Man Lung Yiu,Unknown Homepage,1,1,1,1,SIGMOD Conference,-1.176295,1
Chee Yong Chan,Unknown Homepage,2,3,2,3,SIGMOD Conference,-1.1762537,1
Man Lung Yiu,Unknown Homepage,1,1,1,1,Unknown Booktitle,-1.176295,1
Man Lung Yiu,https://www4.comp.polyu.edu.hk/~csmlyiu/,1,1,1,1,SIGMOD Conference,-1.176295,1
Man Lung Yiu,https://www4.comp.polyu.edu.hk/~csmlyiu/,1,1,1,1,Unknown Booktitle,-1.176295,1
Chee Yong Chan,Unknown Homepage,2,3,2,3,Unknown Booktitle,-1.1762537,1
Chee Yong Chan,http://www.comp.nus.edu.sg/~chancy/,2,3,2,3,Unknown Booktitle,-1.1762537,1
Unknown Name,http://www.comp.nus.edu.sg/~chancy/,2,5,2,5,Unknown Booktitle,-1.1651852,1
Unknown Name,http://www.comp.nus.edu.sg/~chancy/,2,5,2,5,SIGMOD Conference,-1.1651852,1
