author,affiliation,city,podscount,sigmodcount,interv,aggr
Peter Buneman,unknown,unknown,1,4,0.8666667,-0.25000000000000000000
Peter Buneman,unknown,Edinburgh,1,4,0.8666667,-0.25000000000000000000
unknown,University of Edinburgh,unknown,1,3,0.852459,-0.33333333333333333333
unknown,University of Edinburgh,Edinburgh,1,3,0.852459,-0.33333333333333333333
Oege de Moor,unknown,Oxford,1,2,0.83870965,-0.50000000000000000000
James Cheney,unknown,unknown,1,2,0.83870965,-0.50000000000000000000
unknown,"Oxford University, Oxford, United Kingdom",Oxford,1,2,0.83870965,-0.50000000000000000000
Oege de Moor,unknown,unknown,1,2,0.83870965,-0.50000000000000000000
unknown,unknown,Cambridge,1,2,0.83870965,-0.50000000000000000000
unknown,"Oxford University, Oxford, United Kingdom",unknown,1,2,0.83870965,-0.50000000000000000000
