author,affiliation,city,podscount,sigmodcount,interv,aggr
unknown,unknown,Oxford,19,13,0.6666667,-1
unknown,unknown,Edinburgh,25,22,0.6666667,-1
unknown,"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com",unknown,7,4,0.76666665,-1
unknown,"School of Informatics, University of Edinburgh, 2 Buccleuch Place, Edinburgh, EH8 9LW, UK. E-mail: sgoolnik@gmail.com",Edinburgh,7,4,0.76666665,-1
unknown,unknown,London,5,2,0.7741935,-2
Wenfei Fan,unknown,unknown,5,4,0.8,-1
Wenfei Fan,unknown,Edinburgh,5,4,0.8,-1
unknown,"Department of Statistics, University of Oxford, OX1 3TG, UK",Oxford,4,3,0.8032787,-1
unknown,"University of Oxford, Oxford, United Kingdom",unknown,4,3,0.8032787,-1
unknown,"University of Oxford, Oxford, United Kingdom",Oxford,4,3,0.8032787,-1
