author,affiliation,city,country,count
Aaron Bohannon,University of Pennsylvania,Philadelphia,United States,3
Abhay Kumar Jha,"CSE, University of Washington, Seattle, WA, USA",Seattle,United States,3
Adam Kirsch,"Harvard University, Cambridge, MA, USA",Cambridge,United States,6
Adam Meyerson,"University of California, Los Angeles, CA",Los Angeles,United States,2
Alan J. Demers,Cornell University,Ithaca,United States,4
Alan Nash,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,4
Alan Nash,"IBM Research Almaden, San Jose, CA, USA",San Jose,United States,3
Alan Nash,Microsoft Research,Mountain View,United States,3
Alan Nash,"University of California, San Diego",San Diego,United States,2
Alan Nash,"University of California, San Diego, La Jolla, CA",La Jolla,United States,2
Alberto Marchetti-Spaccamela,"Universitá di Roma ""La Sapienza"", Italy",Rome,Italy,5
Alberto O. Mendelzon,"Department of Computer Science, University of Toronto",Toronto,Canada,2
Alberto O. Mendelzon,University of Toronto,Toronto,Canada,7
Aleksandar Nikolov,"Rutgers University, Piscataway, NJ, USA",Piscataway Township,United States,4
Alessio Orlandi,"University of Pisa, Pisa, Italy",Pisa,Italy,2
Alex Thomo,"Concordia University, Montreal, Quebec, Canada",Montreal,Canada,2
Alexander Markowetz,"Fachbrreich Mathematik & Informatik, Philipps Universitát Marburg, Germany",Marburg,Germany,5
Alexandre V. Evfimievski,Cornell University,Ithaca,United States,3
Alexandre V. Evfimievski,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,3
Alexandru Berlea,"Zentrum Mathematik, Technische Universität München, Garching bei München, Germany",Garching,Germany,4
Ali Saman Tosun,"Department of Electrical and Computer Engineering, University of Texas at San Antonio, San Antonio, TX",San Antonio,United States,3
Alin Deutsch,"University of California San Diego, La Jolla, CA",San Diego,United States,3
Alin Deutsch,"University of California San Diego, La Jolla, CA, USA",San Diego,United States,3
Alin Deutsch,"University of California, San Diego",San Diego,United States,7
Alin Dobra,"IEDAL Lab, University of Florida, Gainesville, FL 32611, USA",Gainesville,United States,1
Alon Y. Halevy,"Google Inc., Mountain View, CA",Mountain View,United States,3
Alon Y. Halevy,University of Washington,Seattle,United States,3
Amir M. Zarkesh,"ZAIAS Technologies Corporation, 5086 Avenida Oriente, Tarzana, CA",Los Angeles,United States,4
Amit Kumar,IIT Delhi,New Delhi,India,4
Amit Kumar,"Indian Institute of Technology, New Delhi, India",New Delhi,India,2
Amit Kumar,"Lucent Technologies, Murray Hill, NJ",New Providence,United States,2
Amnon Lotem,"Maryland-College Park, Dept. of Computer Science, College Park, Maryland",College Park,United States,3
Amol Deshpande,University of Maryland,College Park,United States,4
Amol Deshpande,"University of Maryland, College Park, MD, USA",College Park,United States,2
An Zhu,"Google Inc., Mountain View, CA",Mountain View,United States,7
Anand Rajaraman,"Cambrian Ventures, 201 San Antonio Circle, Mountain View, CA",Mountain View,United States,2
Anand Ranganathan,"IBM T.J. Watson Research Center, Hawthorne, NY, USA",Hawthorne,United States,4
Anand Srinivasan,"Bell Labs Research India, Bangalore",Bengaluru,India,5
Andrea Calì,"University of Oxford, Oxford, United Kingdom",Oxford,United Kingdom,3
Andrea Calì,"Università di Roma ""La Sapienza"", Via Salaria 113, Roma, Italy",Rome,Italy,3
Andrea Pietracaprina,"University of Padova, Padova, Italy",Padua,Italy,6
Andrew McGregor,"UC San Diego, La Jolla, CA, USA",San Diego,United States,2
Andrew McGregor,UCSD,La Jolla,United States,4
Andrew McGregor,"University of Massachusetts Amherst, Amherst, MA, USA",Amherst,United States,5
Andrew McGregor,"University of Pennsylvania, Philadelphia, PA",Philadelphia,United States,2
Andrew Tomkins,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,6
Andrew Tomkins,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,8
André Hernich,Humboldt-University,Berlin,Germany,2
André Hernich,"Humboldt-Universität, Berlin, Germany",Berlin,Germany,3
Anirban Dasgupta,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,3
Anirban Majumder,"IIT Kanpur, India",Kanpur,India,2
Ankur Gupta,"Butler University, Indianapolis, IN, USA",Indianapolis,United States,5
Anna C. Gilbert,"AT&T Labs--Research, Florham Park, NJ",Florham Park,United States,4
Anne Condon,University of British Columbia,Vancouver,Canada,4
Antonella Poggi,"Sapienza Universita di Roma, Rome, Italy",Rome,Italy,5
Antonella Poggi,"Sapienza University of Rome, Rome, Italy",Roma,Italy,4
Antonio Badia,University of Louisville,Louisville,United States,2
Anuj Dawar,"University of Cambridge, Cambridge, U.K.",Cambridge,United Kingdom,3
Aravind Ramachandran,"The Ohio State University, Columbus, OH",Columbus,United States,3
Ariel Fuxman,U. of Toronto,Toronto,Canada,4
Aris Anagnostopoulos,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,3
Arvind Arasu,Stanford University,Stanford,United States,2
Arvind Arasu,"Stanford University, Stanford, CA",Stanford,United States,5
Ashish Goel,"Stanford University, Stanford, CA",Stanford,United States,3
Ashish Kumar Gupta,University of Washington,Seattle,United States,3
Ashwin Machanavajjhala,Cornell University,Ithaca,United States,2
Atish Das Sarma,"Georgia Tech, Atlanta, GA, USA",Atlanta,United States,3
Avrim Blum,"Carnegie Mellon University, Pittsburgh, PA",Pittsburgh,United States,4
Bassem Sayrafi,"Indiana University, Bloomington, IN",Bloomington,United States,2
Benjamin C. Pierce,University of Pennsylvania,Philadelphia,United States,3
Benny Kimelfeld,"IBM Research - Almaden, San Jose, CA, USA",San Jose,United States,9
Benny Kimelfeld,"IBM Research, San Jose, CA, USA",San Jose,United States,5
Benny Kimelfeld,"IBM, San Jose, CA, USA",San Jose,United States,3
Benny Kimelfeld,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,3
Benny Kimelfeld,The Hebrew University of Jerusalem,Los Angeles,United States,2
Bernhard Seeger,"Fachbrreich Mathematik & Informatik, Philipps Universitát Marburg, Germany",Marburg,Germany,5
Bernhard Seeger,"University of Marburg, Marburg, Germany",Marburg,Germany,4
Bertram Ludäscher,"University of California, San Diego, La Jolla, CA",La Jolla,United States,2
Bing-Rong Lin,"Penn State University, University Park, PA, USA",University Park,United States,2
Bo Pang,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,8
Boaz Barak,Princeton University,Princeton,United States,6
Bogdan Alexe,"UC Santa Cruz, Santa Cruz, CA, USA",Santa Cruz,United States,3
Bogdan Cautis,U. Paris Sud,Scholes,United Kingdom,3
Bogdan Warinschi,Stanford University,Stanford,United States,2
Bradley C. Kuszmaul,"Laboratory for Information and Decision Systems (LIDS), Massachusetts Institute of Technology, Cambridge, MA",Cambridge,United States,6
Brian Babcock,"Stanford University, Stanford, CA",Stanford,United States,14
Bruno Marnette,"Oxford University, Oxford, United Kingdom",Oxford,United Kingdom,1
Carlo Zaniolo,"Computer Science Department, University of California, Los Angeles, CA",Los Angeles,United States,4
Carlo Zaniolo,"UCLA, Los Angeles, CA, USA",Los Angeles,United States,3
Carlos A. Hurtado,University of Toronto,Toronto,Canada,2
Carsten Lund,"AT&T Labs-Research, Florham Park, NJ, USA",Florham Park,United States,9
Carsten Lutz,"Communications Laboratory, Faculty of Electrical Engineering and Information Technology, Dresden University of Technology, Dresden, Germany",Dresden,Germany,2
Chao Li,"University of Massachusetts Amherst, Amherst, MA, USA",Amherst,United States,5
Charu C. Aggarwal,"IBM T. J. Watson Research Center, Hawthorne, NY",Hawthorne,United States,2
Charu C. Aggarwal,"IBM T. J. Watson Research Center, Yorktown Heights, NY",Yorktown Heights,United States,3
Chen Li,"University of California, Irvine, CA",Irvine,United States,3
Chen Li,"University of California, Irvine, Irvine, CA",Irvine,United States,2
Cheng Sheng,"Chinese University of Hong Kong, Hong Kong, Hong Kong",Ma Liu Shui,Hong Kong,2
Cheng Sheng,"Department of Statistics, The Chinese University of Hong Kong, Hong Kong",Ma Liu Shui,Hong Kong,4
Chinya V. Ravishankar,"Department of Computer Science and Engineering, University of California at Riverside, Riverside, CA",Riverside,United States,3
Christian Sohler,"University of Paderborn, Germany",Paderborn,Germany,5
