author,affiliation,city,country,count
A. Kumaran,"Database Systems Lab, SERC/CSA, Indian Institute of Science, Bangalore, India",Bangalore,India,2
A. Singer,Brown University,Providence,United States,16
Aaron Elkiss,"University of Michigan, Ann Arbor, MI",Ann Arbor,United States,7
Aaron J. Elmore,"UC Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,4
Abdullah Mueen,"University of California, Riverside, Riverside, CA, USA",Riverside,United States,3
Abdur Chowdhury,"America Online, Inc.",North Lauderdale,United States,4
Aber Whitcomb,"Department of Electrical Engineering, University of California Los Angeles, Los Angeles, CA",Los Angeles,United States,8
Abhay Mehta,"Hewlett-Packard Labs, Austin, TX, USA",Austin,United States,7
Abhijit Kadlag,"Database Systems Lab, SERC/CSA, Indian Institute of Science, Bangalore, India",Bangalore,India,3
Abhijit Pol,"University of Florida, Gainesville",Gainesville,United States,5
Abhijit Pol,"University of Florida, Gainesville, FL",Gainesville,United States,9
Abhijith Kashyap,"SUNY Buffalo, Buffalo, NY, USA",Buffalo,United States,4
Abhijith Kashyap,"SUNY at Buffalo, Buffalo, NY, USA",Buffalo,United States,2
Abhinandan Das,Cornell University,Ithaca,United States,6
Abhinav Gupta,"University of Calgary, Department of Computer Science, 513, 2500 University Drive N.W., 5600 MB, Calgary, Alberta, Canada",Calgary,Canada,15
Ada Wai-Chee Fu,"The Chinese University of Hong Kong, Hong Kong, Hong Kong",Ma Liu Shui,Hong Kong,8
Adam Bosworth,"International Institute of Information Technology, Hyderabad",Hyderabad,India,1
Adam Marcus 0002,"MIT CSAIL, Cambridge, MA, USA",Cambridge,United States,11
Adam Prout,"Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, Ont., Canada N2L 3G1",Waterloo,Canada,6
Adam Silberstein,"Duke University, Durham, NC",Durham,United States,6
Adam Silberstein,"Yahoo! Research, Santa Clara, CA, USA",Santa Clara,United States,19
Adarsh Pannu,"IBM Silicon Valley Lab, San Jose, CA",San Jose,United States,7
Adi Unnithan,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,3
Adina Crainiceanu,Cornell University,Ithaca,United States,5
Adina Crainiceanu,"Cornell University, Ithaca, New York",Ithaca,United States,4
Adina Crainiceanu,"United States Naval Academy, Annapolis, MD",Annapolis,United States,5
Aditya G. Parameswaran,"Stanford University, Stanford, CA, USA",Stanford,United States,4
Aditya Mone,"University of Texas at Arlington, Arlington, TX, USA",Arlington,United States,4
Adrian M. Teisanu,"University of Toronto, Toronto, ON, Canada",Toronto,Canada,4
Adriane Chapman,"The MITRE Corporation, McLean, VA, USA",McLean,United States,2
Adriane Chapman,University of Michigan,Ann Arbor,United States,11
Adriane Chapman,"University of Michigan, Ann Arbor, MI",Ann Arbor,United States,10
Adriane Chapman,"University of Michigan, Ann Arbor, MI, USA",Ann Arbor,United States,3
Ahmad Ghazal,"Sparta, Inc, El Segundo",El Segundo,United States,6
Ahmad M. Abusalah,"University of Minnesota, Minneapolis, MN, USA",Minneapolis,United States,4
Ahmed A. Soror,"University of Waterloo, Waterloo, ON, Canada",Waterloo,Canada,6
Ahmed Ayad,"University of Wisconsin - Madison, Madison, WI",Madison,United States,2
Ahmed Eldawy,"University of Minnesota, Minneapolis, MN, USA",Minneapolis,United States,4
Ahmed K. Elmagarmid,"Purdue University, West Lafayette, IN",West Lafayette,United States,4
Ahmed K. Elmagarmid,"Purdue University, West Lafayette, IN, USA",West Lafayette,United States,8
Ahmed K. Elmagarmid,"Purdue University, West Lafayette, Indiana",West Lafayette,United States,5
Ahmed M. Aly,"Purdue University, West Lafayette, IN, USA",West Lafayette,United States,4
Ahmed Metwally,"Univerisity of California, Santa Barbara, CA",Santa Barbara,United States,4
Ahmed Radwan,"University of Miami, Miami, FL, USA",Miami,United States,4
Ajay Gupta 0004,"IBM India Research Lab, New Delhi, India",New Delhi,India,6
Akanksha Baid,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,5
Akmal A. Younis,"University of Miami, Miami, FL, USA",Miami,United States,4
Akshay Kannan,"University of California at Berkeley, Berkeley, CA, USA",Berkeley,United States,10
Alain Biem,"IBM TJ Watson Research Center, Hawthorne, NY, USA",Hawthorne,United States,8
Alain Crolotte,"Kiyon Company, Executive Square, Suite, La Jolla, CA",San Diego,United States,6
Alan Halverson,"Microsoft Jim Gray Systems Lab, Madison, WI, USA",Madison,United States,6
Alan J. Demers,"Cornell University, Ithaca, NY",Ithaca,United States,20
Alan J. Demers,"Cornell University, Ithaca, NY, USA",Ithaca,United States,29
