name,homepage,count,booktitle
Christian A. Lang,http://domino.research.ibm.com/comm/research_people.nsf/pages/langc.index.html,1,SIGMOD Conference
Weili Wu 0001,https://scholar.google.com/citations?user=Flmif3gAAAAJ,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Stphane Bressan,https://scholar.google.com/citations?user=rPn2SMoAAAAJ,1,SIGMOD Conference
Kelly A. Lyons,https://twitter.com/prof_lyons,1,SIGMOD Conference
Yufei Tao 0001,https://scholar.google.com/citations?user=3FmJBHkAAAAJ,4,SIGMOD Conference
Xifeng Yan,https://scholar.google.com/citations?user=XZV2eogAAAAJ,1,SIGMOD Conference
Ioana Manolescu,https://twitter.com/ioanamanol,3,SIGMOD Conference
Vijayshankar Raman,http://domino.research.ibm.com/comm/research_people.nsf/pages/rshankar.index.html,3,SIGMOD Conference
Il-Yeol Song,https://scholar.google.com/citations?user=amST1igAAAAJ,1,SIGMOD Conference
Ge Yu 0001,https://scholar.google.com/citations?user=HClMOmUAAAAJ,1,SIGMOD Conference
Charles D. Cranor,https://www.scopus.com/authid/detail.uri?authorId=6701499462,2,SIGMOD Conference
Jerry Kiernan,http://www.almaden.ibm.com/cs/people/jkiernan/,2,SIGMOD Conference
Eugene Agichtein,https://twitter.com/eugeneagichtein,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Philip Bohannon,https://www.linkedin.com/in/philip-bohannon-88624a2,5,SIGMOD Conference
Christoph Quix,https://scholar.google.com/citations?user=R1yS-E8AAAAJ,1,SIGMOD Conference
Xiaoyang Sean Wang,https://scholar.google.com/citations?user=AHOG_MgAAAAJ,1,SIGMOD Conference
Lucian Popa 0001,https://scholar.google.com/citations?user=1JhvxSEAAAAJ,2,SIGMOD Conference
Anindya Datta,http://www-static.cc.gatech.edu/computing/Database/faculty/datta.html,2,SIGMOD Conference
A. Kumaran 0001,http://research.microsoft.com/people/kumarana,1,SIGMOD Conference
Curtis E. Dyreson,https://scholar.google.com/citations?user=318GQ54AAAAJ,1,SIGMOD Conference
Shu Lin 0004,https://www.linkedin.com/in/shu-lin-1573ab77/,1,SIGMOD Conference
Cecilia Magdalena Procopiuc,http://www.research.att.com/people/Procopiuc_Cecilia_M/index.html,1,SIGMOD Conference
