id,name,homepage,pubid,pubkey,booktitle,editor,year,title
10104,A. Kumaran 0001,http://research.microsoft.com/people/kumarana,3121249,conf/sigmod/KumaranH04,SIGMOD Conference,,2004,LexEQUAL: Multilexical Matching Operator in SQL.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,833699,conf/dbtest-ws/RehmanE22,DBTest@SIGMOD,,2022,FuzzyData: A Scalable Workload Generator for Testing Dataframe Workflow Systems.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3118302,conf/sigmod/0002KEF21,DEEM@SIGMOD,,2021,Understanding and optimizing packed neural network training for hyper-parameter tuning.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3118309,conf/sigmod/0002SKEF20,SIGMOD Conference,,2020,Fast and Reliable Missing Data Contingency Analysis with Predicate-Constraints.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3119111,conf/sigmod/BrackenburyLMEU18,HILDA@SIGMOD,,2018,Draining the Data Swamp: A Similarity-based Approach.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3119953,conf/sigmod/ElmoreATPAA15,SIGMOD Conference,,2015,Squall: Fine-Grained Live Reconfiguration for Partitioned Main Memory Databases.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3119954,conf/sigmod/ElmoreDAA11,SIGMOD Conference,,2011,Zephyr: live migration in shared nothing databases for elastic cloud platforms.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3119955,conf/sigmod/ElmoreDPAAY13,SIGMOD Conference,,2013,Characterizing tenant behavior for placement and crisis mitigation in multitenant DBMSs.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3120883,conf/sigmod/JiangLPCME21,SIGMOD Conference,,2021,Good to the Last Bit: Data-Driven Encoding with CodecDB.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3122216,conf/sigmod/PaparrizosLEF20,SIGMOD Conference,,2020,Debunking Four Long-Standing Misconceptions of Time-Series Distance Measures.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3122773,conf/sigmod/ShangYE18,SIGMOD Conference,,2018,RushMon: Real-time Isolation Anomalies Monitoring.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3123090,conf/sigmod/TangSEKF20,SIGMOD Conference,,2020,Thrifty Query Execution via Incrementability.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3123091,conf/sigmod/TangSMEK21,SIGMOD Conference,,2021,Resource-efficient Shared Query Execution via Exploiting Time Slackness.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3123609,conf/sigmod/XuHHEP17,SIGMOD Conference,,2017,OrpheusDB: A Lightweight Approach to Relational Dataset Versioning.
22043,Aaron J. Elmore,https://scholar.google.com/citations?user=bEXfdkoAAAAJ,3123696,conf/sigmod/YilmazWXNEP18,SIGMOD Conference,,2018,DataDiff: User-Interpretable Data Transformation Summaries for Collaborative Data Analysis.
23335,Aart J. C. Bik,http://www.aartbik.com/,3121694,conf/sigmod/MalewiczABDHLC10,SIGMOD Conference,,2010,Pregel: a system for large-scale graph processing.
28479,Abdeltawab M. Hendawi,https://scholar.google.com/citations?user=ad3Gki4AAAAJ,3122830,conf/sigmod/ShiHFA16,SIGMOD Conference,,2016,RxSpatial: Reactive Spatial Library for Real-Time Location Tracking and Processing.
33940,Abdulrahman Kaitoua,https://scholar.google.com/citations?user=2yrNWc0AAAAJ,3119279,conf/sigmod/CattaniCKP17,BeyondMR@SIGMOD,,2017,Bi-Dimensional Binning for Big Genomic Datasets.
34448,Abdussalam Alawini,https://www.researcherid.com/rid/G-8041-2017,822218,conf/dataed/AlawiniRZKH22,DataEd@SIGMOD,,2022,Teaching Data Models with TriQL.
34448,Abdussalam Alawini,https://www.researcherid.com/rid/G-8041-2017,822229,conf/dataed/YangHA22,DataEd@SIGMOD,,2022,Analyzing Student SQL Solutions via Hierarchical Clustering and Sequence Alignment Scores.
