id,name,homepage,pubid,pubkey,booktitle,editor,year,title
22426,Aaron M. Tenenbaum,http://www.sci.brooklyn.cuny.edu/cis/tenenbaum/,3118730,conf/sigmod/ArnowT84,SIGMOD Conference,,1984,"An Empirical Comparison of B-Trees, Compact B-Trees and Multiway Trees."
33098,Abdullah Mueen 0001,https://www.cs.unm.edu/~mueen/,3121947,conf/sigmod/MueenNL10,SIGMOD Conference,,2010,Fast approximate correlation for massive time-series data.
89145,Alan Fern,http://web.engr.oregonstate.edu/~afern/,3122312,conf/sigmod/PicadoTFA17,SIGMOD Conference,,2017,Schema Independent Relational Learning.
89145,Alan Fern,http://web.engr.oregonstate.edu/~afern/,3122313,conf/sigmod/PicadoTFP17,DEEM@SIGMOD,,2017,Towards Automatically Setting Language Bias in Relational Learning.
89145,Alan Fern,http://web.engr.oregonstate.edu/~afern/,3122314,conf/sigmod/PicadoTFPID21,SIGMOD Conference,,2021,Scalable and Usable Relational Learning With Automatic Language Bias.
109788,Alex Endert,https://va.gatech.edu/endert/,3122317,conf/sigmod/PientaHTENTC17,SIGMOD Conference,,2017,Visual Graph Query Construction and Refinement.
111777,Alex Rasin,https://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1041,3118464,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,SIGMOD Conference,,2003,Aurora: A Data Stream Management System.
111777,Alex Rasin,https://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1041,3118566,conf/sigmod/AhmadBCHHJMPRTXXZ05,SIGMOD Conference,,2005,Distributed operation in the Borealis stream processing engine.
119879,Alexander Rasin,https://www.cdm.depaul.edu/about/pages/people/facultyinfo.aspx?fid=1041,3122266,conf/sigmod/PavloPRADMS09,SIGMOD Conference,,2009,A comparison of approaches to large-scale data analysis.
127133,Alexandre V. Evfimievski,http://www.cs.cornell.edu/aevf/,3118546,conf/sigmod/AgrawalEKV07,SIGMOD Conference,,2007,Auditing disclosure by relevance ranking.
127133,Alexandre V. Evfimievski,http://www.cs.cornell.edu/aevf/,3118547,conf/sigmod/AgrawalES03,SIGMOD Conference,,2003,Information Sharing Across Private Databases.
127133,Alexandre V. Evfimievski,http://www.cs.cornell.edu/aevf/,3122935,conf/sigmod/Sommer0ERH19,SIGMOD Conference,,2019,MNC: Structure-Exploiting Sparsity Estimation for Matrix Expressions.
132199,Alfonso F. Cardenas,http://www.kmed.cs.ucla.edu/bios/cardenas.html,3121573,conf/sigmod/LohmanSBMC83,SIGMOD Conference,,1983,Remotely-Sensed Geophysical Databases: Experience and Implications for Generalized DBMS.
137517,Ali Khoshgozaran,http://www-scf.usc.edu/~jafkhosh/,3120271,conf/sigmod/GhinitaKKST08,SIGMOD Conference,,2008,Private queries in location based services: anonymizers are not necessary.
143496,Aline Bessa,http://engineering.nyu.edu/people/aline-duarte-bessa,842978,conf/deem/ZhangLSOBF23,DEEM@SIGMOD,,2023,Using Pipeline Performance Prediction to Accelerate AutoML Systems.
143496,Aline Bessa,http://engineering.nyu.edu/people/aline-duarte-bessa,3118961,conf/sigmod/BessaCRSSDF21,SIGMOD Conference,,2021,An Ecosystem of Applications for Modeling Political Violence.
143496,Aline Bessa,http://engineering.nyu.edu/people/aline-duarte-bessa,3122646,conf/sigmod/SantosBCMF21,SIGMOD Conference,,2021,Correlation Sketches for Approximate Join-Correlation Queries.
148931,Allen Miu,http://nms.lcs.mit.edu/~aklmiu/,3119197,conf/sigmod/BychkovskyCGHHMSZBM06,SIGMOD Conference,,2006,Data management in the CarTel mobile sensor computing system.
149098,Allen Van Gelder,http://www.soe.ucsc.edu/~avg/,3120238,conf/sigmod/Gelder86,SIGMOD Conference,,1986,A Message Passing Framework for Logical Query Evaluation.
163440,Amir Gilad,https://users.cs.duke.edu/~agilad/,3119795,conf/sigmod/DeutchFGM21,SIGMOD Conference,,2021,On Optimizing the Trade-off between Privacy and Utility in Data Provenance.
163440,Amir Gilad,https://users.cs.duke.edu/~agilad/,3119796,conf/sigmod/DeutchFGS20,SIGMOD Conference,,2020,T-REx: Table Repair Explanations.
